authors	book_id	cover	subject	theme	name	kes1	kes2	kes3
Баранова К.М., Дули Д., Копылова В.В., Эванс В, Миллруд Р.	24470	/system/attachments/files/000/059/786/preview/title.png	{'id': 4, 'name': 'Английский язык'}		Звездный английский. Английский язык. 5 класс.	4	8	8
Юдовская А.Я.	23953	/system/attachments/files/000/056/669/preview/title.png	{'id': 41, 'name': 'История'}		История	41	9	9
Юдовская А.Я.	23953	/system/attachments/files/000/064/626/preview/title.png	{'id': 41, 'name': 'История'}		История	41	9	9
Юдовская А.Я.	23953	/system_2/attachments/files/000/071/237/preview/title.png	{'id': 41, 'name': 'История'}		История	41	9	9
Ведюшкин В.А., Д.Ю. Бовыкин	2	/system/attachments/files/000/001/178/preview/00000020.png	{'id': 41, 'name': 'История'}		История Нового времени	41	3	10
Ведюшкин В.А., Д.Ю. Бовыкин	2	/system/attachments/files/000/004/293/preview/00000020.png	{'id': 41, 'name': 'История'}		История Нового времени	41	3	10
Ведюшкин В.А., Д.Ю. Бовыкин	2	/system/attachments/files/000/000/002/preview/00000020.jpg	{'id': 41, 'name': 'История'}		История Нового времени	41	3	10
Ведюшкин В.А., Д.Ю. Бовыкин	2	/system/attachments/files/000/001/170/preview/00000020.png	{'id': 41, 'name': 'История'}		История Нового времени	41	3	10
Ведюшкин В.А., Д.Ю. Бовыкин	2	/system/attachments/files/000/000/684/preview/00000020.png	{'id': 41, 'name': 'История'}		История Нового времени	41	3	10
Н. М. Арсентьев, А. А. Данилов, И. В. Курукин, А.Я. Токарева	2271	/system/attachments/files/000/050/436/preview/title.png	{'id': 41, 'name': 'История'}		История России	41	10	11
Н. М. Арсентьев, А. А. Данилов, И. В. Курукин, А. Я. Токарева	2272	/system/attachments/files/000/050/437/preview/title.png	{'id': 41, 'name': 'История'}		История России	41	10	11
Н. М. Арсентьев, А. А. Данилов, И. В. Курукин, А. Я. Токарева	2272	/system/attachments/files/000/000/688/preview/0000004E.png	{'id': 41, 'name': 'История'}		История России	41	10	11
Н. М. Арсентьев, А. А. Данилов, И. В. Курукин, А. Я. Токарева	2270	/system/attachments/files/000/050/435/preview/title.png	{'id': 41, 'name': 'История'}		История России	41	10	11
Н. М. Арсентьев, А. А. Данилов, И. В. Курукин, А. Я. Токарева	2270	/system/attachments/files/000/000/686/preview/0000004C.png	{'id': 41, 'name': 'История'}		История России	41	10	11
Н. М. Арсентьев, А. А. Данилов, И. В. Курукин, А.Я. Токарева	2271	/system/attachments/files/000/000/689/preview/0000004D.png	{'id': 41, 'name': 'История'}		История России	41	10	11
Н. М. Арсентьев, А. А. Данилов, П. С. Стефанович, А. Я. Токарева	23008	/system/attachments/files/000/053/107/preview/title.png	{'id': 41, 'name': 'История'}		История России	41	10	11
М. М. Горинов, А. А. Данилов, М. Ю. Моруков, И. С. Семененко, А. Я. Токарева, В. Н. Хаустов, О. В. Хлевнюк, В. А. Шестаков	21650	/system/attachments/files/000/050/857/preview/title.png	{'id': 41, 'name': 'История'}		История России 10 класс. Часть 1	41	10	12
М. М. Горинов, А. А. Данилов, М. Ю. Моруков, И. С. Семененко, А. Я. Токарева, В. Н. Хаустов, О. В. Хлевнюк, В. А. Шестаков	21650	/system/attachments/files/000/052/351/preview/title.png	{'id': 41, 'name': 'История'}		История России 10 класс. Часть 1	41	10	12
М. М. Горинов, А. А. Данилов, М. Ю. Моруков, И. С. Семененко, А. Я. Токарева, В. Н. Хаустов, О. В. Хлевнюк, В. А. Шестаков	21651	/system/attachments/files/000/050/858/preview/title.png	{'id': 41, 'name': 'История'}		История России 10 класс. Часть 2	41	10	12
М. М. Горинов, А. А. Данилов, М. Ю. Моруков, И. С. Семененко, А. Я. Токарева, В. Н. Хаустов, О. В. Хлевнюк, В. А. Шестаков	21651	/system/attachments/files/000/052/361/preview/title.png	{'id': 41, 'name': 'История'}		История России 10 класс. Часть 2	41	10	12
М. М. Горинов, А. А. Данилов, М. Ю. Моруков, И. С. Семененко, А. Я. Токарева, В. Н. Хаустов, О. В. Хлевнюк, В. А. Шестаков	21653	/system/attachments/files/000/052/362/preview/title.png	{'id': 41, 'name': 'История'}		История России 10 класс. Часть 3	41	10	12
М. М. Горинов, А. А. Данилов, М. Ю. Моруков, И. С. Семененко, А. Я. Токарева, В. Н. Хаустов, О. В. Хлевнюк, В. А. Шестаков	21653	/system/attachments/files/000/050/859/preview/title.png	{'id': 41, 'name': 'История'}		История России 10 класс. Часть 3	41	10	12
Данилов А.А.	1	/system/attachments/files/000/004/291/preview/00000010.png	{'id': 41, 'name': 'История'}		История. Россия в XVII-XVIII веках	41	10	13
Данилов А.А.	1	/system/attachments/files/000/001/177/preview/00000010.png	{'id': 41, 'name': 'История'}		История. Россия в XVII-XVIII веках	41	10	13
Данилов А.А.	1	/system/attachments/files/000/000/691/preview/00000012.png	{'id': 41, 'name': 'История'}		История. Россия в XVII-XVIII веках	41	10	13
Данилов А.А.	1	/system/attachments/files/000/001/171/preview/00000010.png	{'id': 41, 'name': 'История'}		История. Россия в XVII-XVIII веках	41	10	13
Курдюмова Т.Ф.	25161	/system_2/attachments/files/000/071/104/preview/b009745.jpg	{'id': 33, 'name': 'Литература'}		Литература. 6 класс. Учебник. В 2-х частях. Часть 2.	33	11	14
Курдюмова Т.Ф.	25161	/system_2/attachments/files/000/070/958/preview/b009745.jpg	{'id': 33, 'name': 'Литература'}		Литература. 6 класс. Учебник. В 2-х частях. Часть 2.	33	11	14
Курдюмова Т. Ф.	25162	/system_2/attachments/files/000/070/978/preview/b009746.jpg	{'id': 33, 'name': 'Литература'}		Литература. 7 класс. Учебник. В 2-х частях. Часть 1.	33	11	15
Курдюмова Т. Ф.	25162	/system_2/attachments/files/000/071/105/preview/b009746.jpg	{'id': 33, 'name': 'Литература'}		Литература. 7 класс. Учебник. В 2-х частях. Часть 1.	33	11	15
Курдюмова Т.Ф., Колокольцев Е.Н., Марьина О.Б. / Под ред. Курдюмовой Т.Ф.	25170	/system_2/attachments/files/000/071/039/preview/b009753.jpg	{'id': 33, 'name': 'Литература'}		Литература. 8 класс. Учебник. В 2-х частях. Часть 2.	33	11	16
Курдюмова Т.Ф., Колокольцев Е.Н., Марьина О.Б. / Под ред. Курдюмовой Т.Ф.	25170	/system_2/attachments/files/000/071/175/preview/b009753.jpg	{'id': 33, 'name': 'Литература'}		Литература. 8 класс. Учебник. В 2-х частях. Часть 2.	33	11	16
Курдюмова Т.Ф., Колокольцев Е.Н., Марьина О.Б. / Под ред. Курдюмовой Т.Ф.	25170	/system_2/attachments/files/000/071/037/preview/b009753.jpg	{'id': 33, 'name': 'Литература'}		Литература. 8 класс. Учебник. В 2-х частях. Часть 2.	33	11	16
